LOCATION_ID,LAT,LON,LOCATION,TOTAL_CARS,AREA_CODE
4129,43.7236979972129,-79.3247089959276,ST DENNIS DR AT WYNFORD DR & EGLINTON E/B ON RAMP S TCS (PX 1462),9644,NO
4132,43.7091909966911,-79.3862009988153,EGLINTON AVE AT FORMAN AVE (PX 220),13508,SO
4134,43.6660999980139,-79.5876750061717,EGLINTON AVE W AT RENFORTH DR (PX 926),73432,WE
4135,43.6767299995446,-79.4157860019466,BATHURST ST AT DAVENPORT RD (PX 384),85306,SO
4136,43.6464709991518,-79.4037599994809,BATHURST ST AT RICHMOND ST (PX 298),24407,SO
4137,43.6356739959498,-79.3983650045536,BATHURST ST AT QUEENS QUAY (PX 1593),22781,SO
4138,43.6364840035827,-79.3996490015435,BATHURST ST AT LAKE SHORE BLVD W (PX 216),71896,SO
4139,43.643926004216,-79.402705002212,BATHURST ST AT KING ST (PX 201),119527,SO
4140,43.6451919999774,-79.4032330021891,ADELAIDE ST AT BATHURST ST (PX 1883),102232,SO
4141,43.6488310018909,-79.4046489955711,BATHURST ST AT CARR ST & ROBINSON ST (PX 1808),9551,SO
4142,43.6731500016819,-79.4143909954901,BATHURST ST AT DUPONT ST (PX 305),63999,SO
4143,43.683166999191,-79.4183009950728,BATHURST ST AT ST CLAIR AVE (PX 480),86273,SO
4144,43.6979450039679,-79.4243409979221,AVA RD AT BATHURST ST (PX 505),32624,SO
4145,43.7009920012768,-79.4255610025978,BATHURST ST AT EGLINTON AVE (PX 100),49267,SO
4146,43.7176290038528,-79.4294130023228,BATHURST ST AT CARIBOU RD & DELLPARK AVE (PX 2133),38961,NO
4147,43.7192580018085,-79.429816002816,BATHURST ST AT LAWRENCE AVE (PX 423),115332,NO
4148,43.7624440030504,-79.4401710060418,# 4600 BATHURST ST AT YMHA 335M S OF ELLERSLIE (PX 673),50551,NO
4149,43.756790757,-79.438791142,BATHURST ST AT COCKSFIELD AVE,15621,NO
4150,43.773858996676,-79.4430079979862,BATHURST ST AT FINCH AVE W (PX 675),164179,NO
4151,43.7431820018926,-79.2189130009699,EGLINTON AVE E AT MARKHAM RD (PX 463),106279,EA
4152,43.8425160016741,-79.2258639974125,NINTH LINE AT STEELES AVE (PX 1979),23580,EA
4153,43.7598219974576,-79.2253240008177,LAWRENCE AVE AT MARKHAM RD (PX 420),85907,EA
4154,43.7817459980458,-79.2338900025899,MARKHAM RD AT PROGRESS AVE & PROGRESS CRT (PX 878),109074,EA
4155,43.7938689980114,-79.2387529992647,MARKHAM RD AT SHEPPARD AVE (PX 701),132167,EA
4156,43.8129710006548,-79.2430759998232,FINCH AVE AT MARKHAM RD (PX 1257),121270,EA
4157,43.8202380008992,-79.2461869972857,MARKHAM RD AT NASHDENE RD (PX 1620),20341,EA
4158,43.8365979968062,-79.2511890037329,MARKHAM RD AT STEELES AVE (PX 1583),93607,EA
4159,43.6444529993708,-79.4000970046864,KING ST AT PORTLAND ST (PX 1225),17411,SO
4160,43.648067003628,-79.3996759945446,AUGUSTA AVE AT QUEEN ST (PX 552),15902,SO
4161,43.6384933184739,-79.3922415927836,LAKE SHORE BLVD W AT LOWER SPADINA AVE (PX 215),57119,SO
4162,43.6427380003057,-79.393928003032,FRONT ST AT SPADINA AVE (PX 272),142268,SO
4163,43.6467399997327,-79.3955699992994,ADELAIDE ST AT SPADINA AVE (PX 274),130667,SO
4165,43.6478069983399,-79.3959690008641,RICHMOND ST AT SPADINA AVE (PX 275),104373,SO
4166,43.6509019962358,-79.3972390021374,SPADINA AVE AT SULLIVAN ST (PX 1335),8014,SO
4167,43.652944004499,-79.3980490041488,DUNDAS ST AT SPADINA AVE (PX 277),24450,SO
4168,43.6544029962107,-79.3986440027187,SPADINA AVE AT ST ANDREWS ST (PX 1146),7795,SO
4169,43.6558509957541,-79.3992310023226,NASSAU ST AT SPADINA AVE (PX 278),5817,SO
4170,43.6579480015013,-79.40004800215,COLLEGE ST AT SPADINA AVE (PX 279),60850,SO
4172,43.6613019966444,-79.4014100005626,SPADINA AVE AT WILLCOCKS ST (PX 1761),8760,SO
4173,43.663051999186,-79.4021090034347,HARBORD ST AT SPADINA AVE (PX 280),16359,SO
4174,43.6646560003837,-79.4027399984052,SPADINA AVE AT SUSSEX AVE (PX 1760),9922,SO
4175,43.6666569991983,-79.4038699943789,BLOOR ST AT SPADINA AVE & SPADINA RD (PX 281),82064,SO
4176,43.637653003792,-79.391888999842,LOWER SPADINA AVE AT QUEENS QUAY (PX 2410),22206,SO
4177,43.6454700030013,-79.3950459963437,KING ST AT SPADINA AVE (PX 273),239486,SO
4178,43.6774159982579,-79.4081299990149,DAVENPORT RD AT SPADINA RD (PX 1023),9283,SO
4179,43.6487650006283,-79.3963809968113,QUEEN ST AT SPADINA AVE (PX 276),116570,SO
4180,43.674856999541,-79.4071219955227,DUPONT ST AT SPADINA RD (PX 840),39370,SO
4184,43.6447479957399,-79.3917939962738,BLUE JAYS WAY AT WELLINGTON ST (PX 1682),26435,SO
4185,43.6434209988582,-79.391285005068,BLUE JAYS WAY AT FRONT ST W (PX 1580),28868,SO
4186,43.8044929961069,-79.2242289988277,TAPSCOTT RD AT WASHBURN WAY & MALVERN TOWN CENTRE (PX 1708),5779,EA
4187,43.6466030020961,-79.3897729942852,JOHN ST AT KING ST (PX 1320),27284,SO
4188,43.6473949971511,-79.3861099975775,KING ST AT SIMCOE ST (PX 199),7759,SO
4189,43.6687199975198,-79.3941410047002,AVENUE RD AT BLOOR ST W & QUEENS PARK (PX 86),171214,SO
4190,43.67669127,-79.397423563,AVENUE RD AT ROXBOROUGH ST,18590,SO
4191,43.678164139,-79.397996957,AVENUE RD AT MACPHERSON AVE (NORTH INTERSECTION),21023,SO
4192,43.6866400031138,-79.4014949949487,AVENUE RD AT ST CLAIR AVE W (PX 112),145522,SO
4193,43.6887209992919,-79.4023379941579,AVENUE RD AT HEATH ST (PX 603),41736,SO
4194,43.7139749997728,-79.4118860038116,AVENUE RD AT LYTTON BLVD (PX 1769),36891,SO
4196,43.7398709966229,-79.4216469952154,AVENUE RD AT WILSON AVE (PX 123),63216,NO
4197,43.6659682513284,-79.392978316603,QUEENS PARK CRES AT QUEENS PARK RD (PX 227),32054,SO
4198,43.648869002318,-79.3855560013834,ADELAIDE ST AT UNIVERSITY AVE (PX 78),203032,SO
4199,43.653106998411,-79.3875819973083,ARMOURY ST AT UNIVERSITY AVE (PX 166),67562,SO
4200,43.6547899971341,-79.3883140021518,DUNDAS ST W AT UNIVERSITY AVE (PX 81),123909,SO
4201,43.6575289991005,-79.3894889938849,GERRARD ST AT UNIVERSITY AVE (PX 1608),80388,SO
4202,43.6452919970234,-79.3824709945498,FRONT ST W AT UNIVERSITY AVE & YORK ST (PX 75),97012,SO
4203,43.762634000369,-79.4138189982251,BEECROFT RD AT ELMHURST AVE (PX 1783),18713,NO
4204,43.6429119965406,-79.3814749973358,BREMNER BLVD AT YORK ST (PX 1755),49870,SO
4205,43.6479240041335,-79.3835779986546,KING ST AT YORK ST (PX 72),11677,WE
4206,43.6581730029893,-79.3864150051833,ELIZABETH ST AT GERRARD ST (PX 1358),17442,SO
4207,43.6411520012208,-79.3768409985475,BAY ST AT HARBOUR SQ & QUEENS QUAY (PX 2416),10279,SO
4208,43.6459869966748,-79.3791339961899,BAY ST AT FRONT ST W (PX 59),24963,SO
4209,43.6486500031974,-79.3802779942645,BAY ST AT KING ST (PX 61),21605,SO
4210,43.6573070037759,-79.3844149971193,BAY ST AT ELM ST (PX 913),32605,SO
4211,43.6624689979815,-79.3863830008235,BAY ST AT GROSVENOR ST (PX 193),24821,SO
4212,43.6713559999187,-79.3901989976741,BAY ST AT YORKVILLE AVE (PX 895),29080,SO
4213,43.7432420025419,-79.3046449988977,LAWRENCE AVE AT PHARMACY AVE (PX 408),85828,EA
4214,43.7475179991836,-79.2848360046077,BIRCHMOUNT RD AT LAWRENCE AVE (PX 410),54377,EA
4215,43.7587599977244,-79.2304299956737,LAWRENCE AVE AT CEDARBRAE MALL W TCS 245M E OF GREENBRAE(PX 1006),16923,EA
4217,43.7581840043566,-79.2330769989999,GREENBRAE CRCT AT GREENCEDAR CRCT & LAWRENCE AVE (PX 419),17464,EA
4218,43.7786450039637,-79.1408209974942,BRIDGEPORT DR AT CHARLOTTETOWN BLVD & LAWRENCE AVE (PX 1827),6040,EA
4219,43.7036139995688,-79.5000519998911,BLACKSTONE ST AT DUCKWORTH ST & LAWRENCE AVE (PX 2000),8906,NO
4220,43.8122189998248,-79.2257449965017,CROW TRL AT NEILSON RD (PX 1728),16866,EA
4221,43.7855409986652,-79.206292004696,LIVONIA PL AT NEILSON RD & PURPLEDUSK TRL (PX 1778),16126,EA
4222,43.7526879957776,-79.4081850057908,HIGHWAY 401 S TCS AT LORD SEATON RD & YONGE ST (PX 1259),85664,NO
4223,43.7473020010599,-79.4074499974863,WILLIAM CARSON CRES AT YONGE ST (PX 508),23981,NO
4225,43.6755879989725,-79.3889869984761,YONGE ST AT AYLMER AVE & BELMONT ST (PX 42),67427,SO
4226,43.690199001807,-79.3949360029505,HEATH ST W AT YONGE ST (PX 1291),49370,SO
4227,43.7067309998852,-79.3983660053511,EGLINTON AVE AT YONGE ST (PX 49),76375,SO
4228,43.7251010003066,-79.4021949941736,LAWRENCE AVE AT YONGE ST (PX 55),81426,SO
4229,43.7599470002509,-79.4105590035613,POYNTZ AVE AT YONGE ST (PX 945),62798,NO
